Coming from,Brings you to,Entrance Door,Exit Door,One Way,Condition,notes
Lake Hylia,Kakariko Village,Owl,,TRUE,Child-0,check if zora fountain grotto boulder is there as an adult if you don't bomb it as a kid
Lake Hylia,Lake House Lab,To Lake House Lab,From Lake Hylia,,,everywhere where a song is listed also needs an ocarina listed
Lake Hylia,Fishing Hole,To Fishing Hole,From Lake Hylia,,,address instances where a warp is found like bottom of the well
Lake House Lab,Lake Hylia,To Lake Hylia,From Lake House Lab,,,"make pathing validity based on doors you are entering, NOT locations you end up in"
Fishing Hole,Lake Hylia,To Lake Hylia,From Fishing Hole,,,
Water Temple,Lake Hylia,To Lake Hylia,From Water Temple,,,
Water Temple,Morpha,To Morpha,From Water Temple,,,
Morpha,Lake Hylia,To Lake Hylia,From Morpha,TRUE,,
Gerudo Valley,Lake Hylia,To Lake Hylia,From Gerudo Valley,TRUE,,
Gerudo Valley,Gerudo Fortress,To Gerudo Fortress,From Gerudo Valley,,(Hookshot || Longshot || Epona) && Adult-0,
Gerudo Valley,Carpenters' Tent,To Carpenters' Tent,From Gerudo Valley,,Adult-0,
Gerudo Valley,Gerudo Valley Grotto,To Gerudo Valley Grotto,From Gerudo Valley,,Silver_Gauntlets || Gold_Gauntlets,
Gerudo Valley Grotto,Gerudo Valley,To Gerudo Valley,From Gerudo Valley Grotto,,,
Gerudo Fortress,Haunted Wasteland,To Haunted Wasteland,From Gerudo Fortress,,Gerudo_Fortress_Membership_Card,
Gerudo Fortress,Gerudo Training Grounds,To Gerudo Training Grounds,From Gerudo Fortress,,Gerudo_Fortress_Membership_Card,
Carpenters' Tent,Gerudo Valley,To Gerudo Valley,From Carpenters' Tent,,,
Gerudo Training Grounds,Gerudo Fortress,To Gerudo Fortress,From Gerudo Training Grounds,,,
Desert Colossus,Spirit Temple,To Spirit Temple,From Desert Colossus,,,
Desert Colossus,Haunted Wasteland,To Haunted Wasteland,From Desert Colossus,,,
Desert Colossus,Desert Colossus Great Fairy,To Desert Colossus Great Fairy,From Desert Colossus,,,
Desert Colossus,Desert Colossus Grotto,To Desert Colossus Grotto,From Desert Colossus,,,
Desert Colossus Great Fairy,Desert Colossus,To Desert Colossus,From Desert Colossus Great Fairy,,,
Desert Colossus Grotto,Desert Colossus,To Desert Colossus,From Desert Colossus Grotto,,,
Spirit Temple,Desert Colossus,To Desert Colossus,From Spirit Temple,,,
Spirit Temple,Twinrova,To Twinrova,From Spirit Temple,,,
Twinrova,,,,TRUE,,
Castle Town Entrance,Guard House,To Guard House,From Castle Town Entrance,,,
Castle Town Entrance,Hyrule Field,To Hyrule Field,From Castle Town Entrance,,,
Castle Town Entrance,Castle Town,To Castle Town,From Castle Town Entrance,,,
Castle Town,Outside Temple of Time,To Outside Temple of Time,From Castle Town,,,
Castle Town,Castle Town Shooting Gallery,To Castle Town Shooting Gallery,From Castle Town,,Child-0,
Castle Town,Bombchu Bowling,To Bombchu Bowling,From Castle Town,,Child-0,
Castle Town,Treasure Chest Game,To Treasure Chest Game,From Castle Town,,Child-0,
Castle Town,Man-in-Green's House,To Man-in-Green's House,From Castle Town,,Child-0,
Castle Town,Happy Mask Shop,To Happy Mask Shop,From Castle Town,,Child-0,
Castle Town,Castle Town Bazaar,To Castle Town Bazaar,From Castle Town,,Child-0,
Castle Town,Castle Town Potion Shop,To Castle Town Potion Shop,From Castle Town,,Child-0,
Castle Town,Castle Town Bomchu Shop,To Castle Town Bomchu Shop,From Castle Town,,Child-0,
Guard House,Castle Town Entrance,To Castle Town Entrance,From Guard House,,,
Castle Town Shooting Gallery,Castle Town,To Castle Town,From Castle Town Shooting Gallery,,,
Bomchu Bowling,Castle Town,To Castle Town,From Bomchu Bowling,,,
Treasure Chest Game,Castle Town,To Castle Town,From Treasure Chest Game,,,
Man-in-Green's House,Castle Town,To Castle Town,From Man-in-Green's House,,,
Happy Mask Shop,Castle Town,To Castle Town,From Happy Mask Shop,,,
Castle Town Bazaar,Castle Town,To Castle Town,From Castle Town Bazaar,,,
Castle Town Potion Shop,Castle Town,To Castle Town,From Castle Town Potion Shop,,,
Castle Town Bomchu Shop,Castle Town,To Castle Town,From Castle Town Bomchu Shop,,,
Outside Temple of Time,Temple of Time,To Temple of Time,From Outside Temple of Time,,,
Outside Temple of Time,Castle Town,To Castle Town,From Outside Temple of Time,,,
Temple of Time,Outside Temple of Time,To Outside Temple of Time,From Temple of Time,,,
Hyrule Castle Grounds,Hyrule Castle Grounds Song of Storm Grotto,To Hyrule Castle Grounds Song of Storm Grotto,From Hyrule Castle Grounds,,(Child-0 && Song_of_Storms),
Hyrule Castle Grounds,Kakariko Village,To Owl,From Hyrule Castle Grounds,TRUE,Child-0,
Hyrule Castle Grounds,Hyrule Castle Great Fairy,To Hyrule Castle Great Fairy,From Hyrule Castle Grounds,,,
Hyrule Castle Grounds,Hyrule Castle,To Hyrule Castle,From Hyrule Castle Grounds,,,
Hyrule Castle Grounds Song of Storm Grotto,Hyrule Castle Grounds,To Hyrule Castle Grounds,From Hyrule Castle Grounds Song of Storm Grotto,,,
Hyrule Castle Great Fairy,Hyrule Castle Grounds,To Hyrule Castle Grounds,From Hyrule Castle Great Fairy,,,
Outside Ganon's Castle,Outside Ganon's Castle Great Fairy,To Outside Ganon's Castle Great Fairy,From Outside Ganon's Castle,,Gold_Gauntlets,
Outside Ganon's Castle,Ganon's Castle,To Ganon's Castle,From Outside Ganon's Castle,,,
Outside Ganon's Castle Great Fairy,Outside Ganon's Castle,To Outside Ganon's Castle,From Outside Ganon's Castle Great Fairy,,,
Ganon's Castle,Outside Ganon's Castle,To Outside Ganon's Castle,From Ganon's Castle,,,
Graveyard,Dampe's Shack,To Dampe's Shack,From Graveyard,,,
Graveyard,Dampe's Grave,To Dampe's Grave,From Graveyard,,Adult-0,
Graveyard,Royal Family's Tomb,To Royal Family's Tomb,From Graveyard,,Zelda's_Lullaby,
Graveyard,Composer's Grave,To Composer's Grave,From Graveyard,,,
Graveyard,Shield Grave,To Shield Grave,From Graveyard,,,
Graveyard,Shadow Temple,To Shadow Temple,From Graveyard,,Nocturne_of_Shadow && Din's_Fire,
Dampe's Grave,Windmill,To Windmill,From Dampe's Grave,TRUE,Song_of_Time,
Dampe's Grave,Graveyard,To Graveyard,From Dampe's Grave,,,
Dampe's Shack,Graveyard,,,,,
Shadow Temple,Graveyard,To Graveyard,From Shadow Temple,,,
Shadow Temple,Bongo Bongo,,,,,
Bongo-Bongo,,,,TRUE,,
